IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.47.149,4,4,0.00,10.26,49.63
104.19.56.221,4,4,0.00,11.35,49.58
104.19.55.28,4,4,0.00,10.74,44.23
104.19.98.142,4,4,0.00,11.58,41.13
104.16.86.1,4,4,0.00,10.02,40.68
104.19.45.254,4,4,0.00,11.70,40.66
104.19.22.89,4,4,0.00,11.65,37.92
104.19.33.197,4,4,0.00,10.65,37.77
104.19.61.124,4,4,0.00,11.26,36.76
198.41.196.57,4,4,0.00,11.39,36.49
198.41.193.74,4,4,0.00,10.33,32.62
104.19.57.88,4,4,0.00,11.09,32.19
104.19.42.95,4,4,0.00,10.45,32.08
104.16.106.201,4,4,0.00,10.63,31.37
198.41.198.23,4,4,0.00,11.10,30.67
104.19.100.17,4,4,0.00,11.21,30.39
198.41.199.184,4,4,0.00,10.81,26.19
104.19.46.176,4,4,0.00,11.41,20.84
104.17.106.234,4,4,0.00,11.22,0.00
104.19.16.202,4,4,0.00,8.78,0.00
